------------------------------------------------------------------------------------
i    mode        F [GHz]     ltot [mm]   lwide [mm]  lal [mm]    lms [mm]    Fthz [GHz]  
------------------------------------------------------------------------------------
0    filter      4.100       6.162       4.010       2.003       0.149       377.2       
1    filter      4.266       5.917       3.846       1.922       0.150       376.5       
2    filter      4.438       5.682       3.689       1.843       0.150       375.7       
3    filter      4.617       5.455       3.538       1.768       0.150       375.0       
4    filter      4.804       5.238       3.392       1.695       0.151       374.2       
5    filter      5.166       4.860       3.140       1.569       0.151       373.5       
6    filter      5.337       4.701       3.034       1.516       0.151       372.7       
7    filter      5.512       4.546       2.930       1.464       0.151       372.0       
8    filter      5.694       4.396       2.830       1.414       0.152       371.3       
9    filter      4.116       6.135       3.989       1.993       0.152       370.5       
10   filter      4.283       5.891       3.827       1.912       0.152       369.8       
11   filter      4.456       5.656       3.670       1.834       0.153       369.0       
12   filter      4.636       5.431       3.519       1.758       0.153       368.3       
13   filter      4.823       5.214       3.375       1.686       0.153       367.6       
14   filter      5.183       4.841       3.126       1.562       0.154       366.8       
15   filter      5.354       4.682       3.020       1.509       0.154       366.1       
16   filter      5.530       4.528       2.917       1.457       0.154       365.4       
17   filter      5.712       4.379       2.817       1.408       0.155       364.6       
18   filter      4.133       6.108       3.969       1.983       0.155       363.9       
19   filter      4.300       5.864       3.807       1.902       0.155       363.2       
20   filter      4.473       5.631       3.651       1.824       0.155       362.5       
21   filter      4.654       5.406       3.501       1.749       0.156       361.7       
22   filter      4.842       5.190       3.357       1.677       0.156       361.0       
23   filter      5.200       4.823       3.112       1.555       0.156       360.3       
24   filter      5.371       4.664       3.006       1.502       0.157       359.6       
25   filter      5.548       4.511       2.903       1.451       0.157       358.8       
26   filter      5.731       4.362       2.804       1.401       0.157       358.1       
27   filter      4.149       6.080       3.949       1.973       0.158       357.4       
28   filter      4.317       5.838       3.788       1.893       0.158       356.7       
29   filter      4.491       5.605       3.632       1.815       0.158       356.0       
30   filter      4.673       5.382       3.483       1.740       0.159       355.3       
31   filter      4.861       5.167       3.339       1.668       0.159       354.6       
32   filter      5.217       4.804       3.097       1.548       0.159       353.9       
33   filter      5.389       4.646       2.992       1.495       0.160       353.2       
34   filter      5.566       4.493       2.889       1.444       0.160       352.4       
35   filter      5.749       4.345       2.790       1.394       0.160       351.7       
36   filter      4.165       6.053       3.929       1.963       0.160       351.0       
37   filter      4.334       5.812       3.768       1.883       0.161       350.3       
38   filter      4.509       5.580       3.613       1.805       0.161       349.6       
39   filter      4.691       5.357       3.465       1.731       0.161       348.9       
40   filter      4.881       5.143       3.322       1.660       0.162       348.2       
41   filter      5.234       4.785       3.083       1.540       0.162       347.5       
42   filter      5.406       4.628       2.978       1.488       0.162       346.9       
43   filter      5.584       4.475       2.876       1.437       0.163       346.2       
44   filter      5.768       4.328       2.777       1.388       0.163       345.5       
45   filter      4.182       6.026       3.909       1.953       0.163       344.8       
46   filter      4.351       5.785       3.749       1.873       0.164       344.1       
47   filter      4.527       5.555       3.595       1.796       0.164       343.4       
48   filter      4.710       5.333       3.446       1.722       0.164       342.7       
49   filter      4.900       5.119       3.304       1.651       0.165       342.0       
50   filter      5.251       4.767       3.068       1.533       0.165       341.3       
51   filter      5.424       4.610       2.964       1.481       0.165       340.7       
52   filter      5.602       4.458       2.862       1.430       0.166       340.0       
53   filter      5.786       4.310       2.764       1.381       0.166       339.3       
54   filter      4.199       5.999       3.889       1.943       0.166       338.6       
55   filter      4.368       5.759       3.729       1.863       0.167       338.0       
56   filter      4.545       5.529       3.576       1.787       0.167       337.3       
57   filter      4.728       5.308       3.428       1.713       0.167       336.6       
58   filter      5.100       4.910       3.162       1.580       0.168       335.9       
59   filter      5.268       4.748       3.054       1.526       0.168       335.3       
60   filter      5.441       4.591       2.949       1.474       0.168       334.6       
61   filter      5.620       4.440       2.848       1.423       0.169       333.9       
62   filter      5.805       4.293       2.750       1.374       0.169       333.3       
63   filter      4.215       5.971       3.869       1.933       0.169       332.6       
64   filter      4.386       5.733       3.710       1.854       0.170       331.9       
65   filter      4.563       5.504       3.557       1.777       0.170       331.3       
66   filter      4.747       5.284       3.410       1.704       0.170       330.6       
67   filter      5.117       4.891       3.147       1.573       0.171       329.9       
68   filter      5.285       4.729       3.040       1.519       0.171       329.3       
69   filter      5.459       4.573       2.935       1.467       0.171       328.6       
70   filter      5.639       4.422       2.834       1.416       0.172       328.0       
71   filter      5.824       4.276       2.737       1.367       0.172       327.3       
72   filter      4.232       5.944       3.849       1.923       0.172       326.7       
73   filter      4.403       5.707       3.690       1.844       0.173       326.0       
74   filter      4.581       5.479       3.538       1.768       0.173       325.4       
75   filter      4.766       5.259       3.391       1.695       0.173       324.7       
76   filter      5.133       4.871       3.132       1.565       0.174       324.1       
77   filter      5.302       4.711       3.025       1.512       0.174       323.4       
78   filter      5.477       4.555       2.921       1.460       0.174       322.8       
79   filter      5.657       4.405       2.820       1.409       0.175       322.1       
80   filter      4.249       5.918       3.829       1.913       0.175       321.5       
81   filter      4.420       5.681       3.671       1.834       0.176       320.8       
82   filter      4.599       5.454       3.519       1.759       0.176       320.2       
83   filter      4.785       5.235       3.374       1.686       0.176       319.5       
84   filter      5.150       4.852       3.118       1.558       0.177       318.9       
85   filter      5.319       4.692       3.011       1.504       0.177       318.3       
86   filter      5.494       4.537       2.907       1.453       0.177       317.6       
87   filter      5.675       4.387       2.807       1.403       0.178       317.0       
88   broadband   5.843       4.319       2.807       1.403       0.110       0.0         
89   broadband   5.862       4.305       2.798       1.398       0.110       0.0         
90   blind       5.881       4.291       2.788       1.393       0.110       0.0         
91   blind       5.900       4.277       2.778       1.388       0.110       0.0         
------------------------------------------------------------------------------------
------------------------------------------------------------------------------------
i    mode        F [GHz]     ltot [mm]   lwide [mm]  lal [mm]    lms [mm]    Fthz [GHz]  
------------------------------------------------------------------------------------
0    blind       6.500       4.137       4.137       0.000       0.000       0.0         
1    blind       6.689       4.020       4.020       0.000       0.000       0.0         
2    blind       6.883       3.906       3.906       0.000       0.000       0.0         
3    blind       7.083       3.796       3.796       0.000       0.000       0.0         
4    blind       7.288       3.689       3.689       0.000       0.000       0.0         
5    blind       7.500       3.585       3.585       0.000       0.000       0.0         
------------------------------------------------------------------------------------
